userId,Debug COUNT(*),Copy COUNT,Paste COUNT,Build COUNT,Total Count,Debug/Total,Copy/Total,Paste/Total,Build/Total
2751,345,56,83,210,4300,0.08023,0.01302,0.0193,0.04884
2686,287,33,43,97,2153,0.1333,0.01533,0.01997,0.04505
2778,1370,45,48,293,5494,0.24936,0.00819,0.00874,0.05333
207,1514,48,52,150,4525,0.33459,0.01061,0.01149,0.03315
300,0,61,44,2,1955,0,0.0312,0.02251,0.00102
472,56,7,8,4,1849,0.03029,0.00379,0.00433,0.00216
327,481,141,172,192,5788,0.0831,0.02436,0.02972,0.03317
303,5662,204,266,311,10657,0.53129,0.01914,0.02496,0.02918
452,3,0,0,4,1282,0.00234,0,0,0.00312
2653,1014,56,88,578,6472,0.15667,0.00865,0.0136,0.08931
